node_id,name_with_owner,owner_login,name,star_count,recorded_at
R_kgDOB-mdhA,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,466562,2026-02-17 07:53:52.283432+00:00
R_kgDOAUuv-Q,sindresorhus/awesome,sindresorhus,awesome,437962,2026-02-17 07:53:52.283432+00:00
R_kgDOAbI7Xw,freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,437134,2026-02-17 07:53:52.283432+00:00
R_kgDOAz1ELw,public-apis/public-apis,public-apis,public-apis,398726,2026-02-17 07:53:52.283432+00:00
R_kgDOAM3etw,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,382620,2026-02-17 07:53:52.283432+00:00
R_kgDOBRIuNg,kamranahmedse/developer-roadmap,kamranahmedse,developer-roadmap,349157,2026-02-17 07:53:52.283432+00:00
R_kgDOA5sNLQ,jwasham/coding-interview-university,jwasham,coding-interview-university,337031,2026-02-17 07:53:52.283432+00:00
R_kgDOBPXfqQ,donnemartin/system-design-primer,donnemartin,system-design-primer,335560,2026-02-17 07:53:52.283432+00:00
R_kgDOAUTYlg,vinta/awesome-python,vinta,awesome-python,283191,2026-02-17 07:53:52.283432+00:00
R_kgDOCpgLVQ,996icu/996.ICU,996icu,996.ICU,275475,2026-02-17 07:53:52.283432+00:00
R_kgDOAi77Gg,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,273613,2026-02-17 07:53:52.283432+00:00
R_kgDOBT70hA,practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,258486,2026-02-17 07:53:52.283432+00:00
R_kgDOAJy2Kg,facebook/react,facebook,react,243030,2026-02-17 07:53:52.283432+00:00
R_kgDOA8iScQ,TheAlgorithms/Python,TheAlgorithms,Python,217747,2026-02-17 07:53:52.283432+00:00
R_kgDOACN7Mg,torvalds/linux,torvalds,linux,217621,2026-02-17 07:53:52.283432+00:00
R_kgDOALL9pg,vuejs/vue,vuejs,vue,209879,2026-02-17 07:53:52.283432+00:00
R_kgDOCD-2Mw,trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,206549,2026-02-17 07:53:52.283432+00:00
R_kgDOQb6kRw,openclaw/openclaw,openclaw,openclaw,202670,2026-02-17 07:53:52.283432+00:00
R_kgDOAShAGA,ossu/computer-science,ossu,computer-science,201316,2026-02-17 07:53:52.283432+00:00
R_kgDOB4tqbA,trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,195540,2026-02-17 07:53:52.283432+00:00
R_kgDOArmXAg,tensorflow/tensorflow,tensorflow,tensorflow,193747,2026-02-17 07:53:52.283432+00:00
R_kgDOAARxQQ,ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,184722,2026-02-17 07:53:52.283432+00:00
R_kgDOANxXTg,getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,184397,2026-02-17 07:53:52.283432+00:00
R_kgDOBzxZNg,CyC2018/CS-Notes,CyC2018,CS-Notes,183682,2026-02-17 07:53:52.283432+00:00
R_kgDOJKSTjA,Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,181838,2026-02-17 07:53:52.283432+00:00
R_kgDOAn8RLA,microsoft/vscode,microsoft,vscode,181736,2026-02-17 07:53:52.283432+00:00
R_kgDOB1vT9w,jackfrued/Python-100-Days,jackfrued,Python-100-Days,178686,2026-02-17 07:53:52.283432+00:00
R_kgDOAeUeuA,flutter/flutter,flutter,flutter,175226,2026-02-17 07:53:52.283432+00:00
R_kgDOC4Q8Qg,n8n-io/n8n,n8n-io,n8n,174854,2026-02-17 07:53:52.283432+00:00
R_kgDOACBxpA,twbs/bootstrap,twbs,bootstrap,173975,2026-02-17 07:53:52.283432+00:00
R_kgDOABA38Q,github/gitignore,github,gitignore,172459,2026-02-17 07:53:52.283432+00:00
R_kgDODeqAxw,massgravel/Microsoft-Activation-Scripts,massgravel,Microsoft-Activation-Scripts,166222,2026-02-17 07:53:52.283432+00:00
R_kgDOAUivlw,avelino/awesome-go,avelino,awesome-go,165238,2026-02-17 07:53:52.283432+00:00
R_kgDOJ0Z1Pg,ollama/ollama,ollama,ollama,162732,2026-02-17 07:53:52.283432+00:00
R_kgDOH3JoLw,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,160578,2026-02-17 07:53:52.283432+00:00
R_kgDOAiSj0g,jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,159859,2026-02-17 07:53:52.283432+00:00
